placa,voice_score,historical_score,geographic_score,default_flag
0116YXA,749.649549909091,564.2497718436365,1000.0,0
0603561C,378.6857749090908,1000.0,1000.0,0
060374K,559.2836172727274,1000.0,1000.0,0
060381K,390.71987418181817,1000.0,1000.0,0
060820K,395.3402448181819,1000.0,1000.0,1
060845K,641.5275310000002,821.3954740909089,1000.0,0
060863K,709.3210294545455,878.4660362727271,1000.0,0
060874K,561.3969450909091,1000.0,1000.0,0
061238K,441.05931,1000.0,1000.0,0
061288K,351.0170625454545,1000.0,1000.0,0
061706K,977.235590909091,22.764409090908998,1000.0,1
061802K,635.0772418181818,364.9227581818182,1000.0,1
061803K,981.7884727272727,18.2115272727272,1000.0,1
061899K,922.3228533636363,77.6771466363636,1000.0,1
0NXA9936,782.2801158181819,493.9354307272727,1000.0,1
1050,909.7961654545454,90.2038345454545,1000.0,1
109327,919.4786274545454,80.5213725454545,1000.0,1
109456,926.1112045454546,73.88879545454539,1000.0,1
11G896,808.6694994545454,446.69397390909086,1000.0,1
120053K,328.21540545454553,1000.0,1000.0,0
120370K,354.36201272727277,1000.0,1000.0,0
120466K,419.6903581818182,678.5875227272727,1000.0,0
120768K,963.5884095454545,36.411590454545404,1000.0,1
121368K,920.93472,79.06528,1000.0,1
121440K,140.87364181818185,1000.0,1000.0,0
122409K,196.30975090909087,1000.0,1000.0,0
122432K,466.5041754545455,1000.0,1000.0,0
1247JGE,960.69127,39.30873,1000.0,1
1260079,316.5381954545454,683.4618045454546,1000.0,0
1387JGE,955.5436748181819,44.4563251818181,1000.0,1
1416JFHA,978.0394190909091,21.9605809090909,1000.0,1
1507EDM016,230.53781281818186,1000.0,1000.0,0
1507MDF049,967.0063463636363,32.9936536363636,1000.0,1
1511MDF034,983.664170909091,16.335829090908998,1000.0,1
1512EDM010,950.8681818181819,49.131818181818105,1000.0,1
1602MDF050,954.141020909091,45.858979090908996,1000.0,1
1603MDF019,927.2712236363637,72.7287763636363,1000.0,1
1610MDF004,977.3960881818182,22.6039118181818,1000.0,1
1610MDF123,915.7395990909091,84.2604009090909,1000.0,1
1611MDF003,801.786246909091,474.94291399999986,1000.0,1
1612MDF009,874.8192572727273,125.1807427272727,1000.0,1
1701MDF078,998.8126872727273,1.1873127272727,1000.0,1
1701MDF118,982.5667463636364,17.4332536363636,1000.0,1
1703MDF193,948.6664463636364,51.3335536363636,1000.0,1
1704EDM001,827.581035090909,316.863654,1000.0,1
1704MDF094,951.7239100000002,48.2760899999999,1000.0,1
1705MDF058,867.3167954545455,291.41500727272717,1000.0,1
1706MDF121,846.7240127272728,153.2759872727272,1000.0,1
1708MDF054,964.7980207272728,35.2019792727272,1000.0,1
1710MDF045,379.5029027272727,648.1723690909091,1000.0,0
1711MDF017,752.9161272727273,523.7472681818182,1000.0,0
1711MDF033,998.7977281818182,1.2022718181818002,1000.0,1
1711MDF126,999.7827281818182,0.2172718181818,1000.0,1
1712MDF018,897.0869872727272,102.9130127272727,1000.0,1
1712MDF125,963.3269190909091,36.6730809090909,1000.0,1
1712MDF126,885.7281254545455,114.2718745454545,1000.0,1
1712MDF131,226.85094818181827,1000.0,1000.0,0
1712MDF162,821.676230909091,178.323769090909,1000.0,1
1800827,937.4622922727273,62.537707727272696,1000.0,1
1801MDF009,911.8094781818182,88.1905218181818,1000.0,1
1802709,955.173220909091,44.826779090909,1000.0,1
1802MDF002,987.0630463636364,12.9369536363636,1000.0,1
1802MDF053,992.8387645454546,7.1612354545454,1000.0,1
1802MDF058,832.752371909091,167.24762809090902,1000.0,1
1803342,930.71223,69.28777,1000.0,1
1804272,934.1546290909091,65.8453709090909,1000.0,1
1804501,989.5279927272728,10.4720072727272,1000.0,1
1804586,981.8324729999999,18.167527,1000.0,1
1912VLL28,997.74212,2.2578799999999997,1000.0,1
2000012,964.2778927272728,35.7221072727272,1000.0,1
2000578,899.4339374545455,217.0565116363636,1000.0,1
2000705,783.6893644545455,456.387771,1000.0,1
203ZCT,865.1374766363638,134.8625233636363,1000.0,1
225C,0.0,1000.0,1000.0,0
2617JGE,950.135540909091,49.864459090909,1000.0,1
2900JGE,684.3192481818182,776.7127736363636,1000.0,0
299TLA,974.1861836363637,25.813816363636302,1000.0,1
305,945.1372281818183,54.8627718181818,1000.0,1
308C,0.0,1000.0,1000.0,0
320C,473.8183,1000.0,1000.0,0
329VBS,657.2675344545455,716.4282482727274,1000.0,0
330C,251.17017636363647,1000.0,1000.0,0
370,915.4305181818182,84.5694818181818,1000.0,1
3866GMK,855.3584384545455,362.098066090909,1000.0,1
4000009,902.1131871818183,97.88681281818181,1000.0,1
400TL078,74.05653272727275,1000.0,1000.0,1
400TL310,981.7878176363637,18.2121823636363,1000.0,1
400TL319,312.75587990909094,1000.0,1000.0,0
403TL113,947.3613732727273,52.6386267272727,1000.0,1
403TL167,949.8697563636364,50.1302436363636,1000.0,1
403TL180,287.3622454545455,1000.0,1000.0,0
404TL087,352.5191892727273,1000.0,1000.0,0
405TL020,983.3312490909091,25.4634372727272,1000.0,1
405TL302,746.4770554545455,253.5229445454545,1000.0,1
40AU2X,0.0,1000.0,1000.0,0
417,981.7884727272727,18.2115272727272,1000.0,1
418,970.9210736363638,29.0789263636363,1000.0,1
418C,463.5177481818182,907.5628645454548,1000.0,1
44VLB,791.7278336363637,411.4330963636363,1000.0,1
457C,175.21321436363658,1000.0,1000.0,0
45BB9X,0.0,1000.0,1000.0,0
460TL122,318.52812727272726,1000.0,1000.0,0
467TL118,973.7144772727273,26.2855227272727,1000.0,1
475TL188,0.0,1000.0,1000.0,0
500ZDU,987.0630463636364,12.9369536363636,1000.0,1
5480JES,650.1151515454545,667.6736784545454,1000.0,0
54AM8P,0.0,1000.0,1000.0,0
583371,0.0,1000.0,1000.0,0
60F708,772.3802941818182,459.0607030909091,1000.0,1
62AL5N,0.0,1000.0,1000.0,0
634333,0.0,1000.0,1000.0,0
640NZ022M,900.2187363636364,99.78126363636359,1000.0,1
69AY8K,890.5681554545455,109.4318445454545,1000.0,1
6CS4E9,452.2344727272727,1000.0,1000.0,0
6CS4L60,76.86263227272738,1000.0,1000.0,0
6CS5F50,249.27606045454542,1000.0,1000.0,0
6CS8F90,319.7699227272728,1000.0,1000.0,0
6CSL90,0.0,1000.0,1000.0,0
701TL011C,239.915087909091,1000.0,1000.0,0
705TL005M,502.4013533636365,1000.0,1000.0,0
710TL023M,743.6722242727272,256.3277757272727,1000.0,1
710TL065M,982.9352093636364,17.0647906363636,1000.0,1
71BA4V,0.0,1000.0,1000.0,1
741601J,989.3449463636364,10.6550536363636,1000.0,1
744733J,136.45862499999996,1000.0,1000.0,1
747276J,957.148700909091,42.851299090908995,1000.0,1
752895J,566.5684921818183,1000.0,1000.0,0
753233J,614.977562090909,839.5668841818182,1000.0,0
754292J,461.7743911818183,1000.0,1000.0,0
756963J,209.20707836363627,1000.0,1000.0,0
757306J,953.1817090909092,46.8182909090909,1000.0,1
7681JFL,810.4534851818181,378.9103944545455,1000.0,1
770517J,316.46663809090904,1000.0,1000.0,0
770529J,485.85579809090916,1000.0,1000.0,0
770680J,231.08152818181816,1000.0,1000.0,0
770778J,759.240418,240.759582,1000.0,1
770792J,83.29768000000004,1000.0,1000.0,0
770804J,304.1175686363636,1000.0,1000.0,0
770957J,339.364054,1000.0,1000.0,0
770973J,185.1515250000001,1000.0,1000.0,1
772,999.1494736363637,0.8505263636363,1000.0,1
807703J,272.93847090909094,1000.0,1000.0,0
8162,605.3658408181819,394.6341591818181,1000.0,1
8163JES,771.3347825454546,506.57827927272723,1000.0,0
837757J,333.5570363636364,1000.0,1000.0,0
838745J,305.1099860909092,1000.0,1000.0,0
838850J,120.14143272727263,1000.0,1000.0,0
845NA083C,966.1511827272728,33.848817272727196,1000.0,1
845NA116C,997.9484736363637,2.0515263636363,1000.0,1
852EC085,338.87141145454547,1000.0,1000.0,1
867004J,214.9535982727273,1000.0,1000.0,0
88107,918.4589745454546,81.5410254545454,1000.0,1
8E9003481,211.98844545454543,1000.0,1000.0,0
902246,77.44786818181804,1000.0,1000.0,0
9026746,623.90155,837.6409606363635,1000.0,0
906068,346.12028600000014,1000.0,1000.0,0
906301,292.9929909090909,1000.0,1000.0,0
91171,542.9481527272728,752.2760227272727,1000.0,0
9312JES,773.6663985454546,466.2243732727273,1000.0,1
94AL6N,0.0,1000.0,1000.0,0
9RK9096968,233.2712911818182,1000.0,1000.0,0
A00001A,588.6254000000001,938.7651000000001,1000.0,0
A00002A,584.1937000000001,974.7737999999998,1000.0,0
A00007A,333.7048272727272,1000.0,1000.0,1
A00012,983.9599054545455,16.040094545454497,1000.0,1
A00016A,740.6385909090909,639.6089272727272,1000.0,0
A00022A,584.8935309090909,867.7716090909091,1000.0,0
A00027A,431.8439636363637,1000.0,1000.0,0
A00038A,315.31180909090904,1000.0,1000.0,0
A00039A,491.2183,1000.0,1000.0,0
A00042A,569.629109090909,1000.0,1000.0,0
A00053A,251.89490909090907,1000.0,1000.0,0
A0005J,820.6518768181819,179.3481231818181,1000.0,1
A00065A,326.6168999999999,1000.0,1000.0,0
A00068A,315.7090272727273,1000.0,1000.0,0
A00070A,214.50229999999993,1000.0,1000.0,1
A00079A,501.1527090909091,1000.0,1000.0,0
A00082A,284.00436063727284,1000.0,1000.0,0
A00091A,617.110490909091,699.1047636363635,1000.0,0
A00095A,229.95504545454537,1000.0,1000.0,0
A00096A,256.8645727272727,1000.0,1000.0,0
A00115A,582.1832936363637,967.316271818182,1000.0,0
A00136A,310.89174545454546,1000.0,1000.0,0
A00137A,384.69024545454533,1000.0,1000.0,0
A00147A,520.4544454545454,1000.0,1000.0,0
A00148A,447.5208454545454,1000.0,1000.0,0
A00150A,494.58599999999996,1000.0,1000.0,0
A00158A,433.44041363636364,1000.0,1000.0,1
A0016D,735.781963,534.0359915454545,1000.0,0
A00172A,443.3794409090909,1000.0,1000.0,0
A00178A,78.34578181818198,921.654218181818,1000.0,0
A00180A,303.7284727272728,1000.0,1000.0,0
A00188A,209.79531818181817,1000.0,1000.0,0
A00191A,289.97037272727266,1000.0,1000.0,0
A00196A,779.0310636363638,579.3491545454546,1000.0,0
A00200A,398.45182363636354,1000.0,1000.0,0
A00201A,683.23263,678.1325854545454,1000.0,0
A00212A,314.2996545454546,1000.0,1000.0,0
A00213A,237.30833636363636,1000.0,1000.0,0
A00214A,513.8184181818182,1000.0,1000.0,0
A00215A,481.4095727272727,1000.0,1000.0,0
A00217A,459.8732,1000.0,1000.0,0
A0022K,862.2505345454547,137.7494654545454,1000.0,1
A00232A,494.12630909090905,753.5409363636364,1000.0,0
A00234A,367.3984909090909,1000.0,1000.0,1
A00241A,488.88183636363635,1000.0,1000.0,0
A00242A,616.8457545454544,841.5005454545455,1000.0,0
A00252A,517.2450000000002,994.9207,1000.0,0
A00253A,593.6941000000002,884.8931,1000.0,0
A00275A,447.4981818181818,1000.0,1000.0,0
A00276A,551.8068000000001,973.8183,1000.0,0
A0028N,949.844383909091,50.155616090909,1000.0,1
A00291A,493.67334930636355,1000.0,1000.0,0
A00296A,472.2446581818182,1000.0,1000.0,0
A00300A,527.9196545454545,1000.0,1000.0,0
A00301A,240.60251818181823,1000.0,1000.0,0
A0030N,883.4418581818182,116.55814181818181,1000.0,1
A00316A,452.5782727272727,1000.0,1000.0,0
A00317A,566.1301272727272,907.1867454545454,1000.0,0
A00329A,657.2987363636364,768.8783454545455,1000.0,0
A00334A,414.91020000000003,1000.0,1000.0,0
A00367A,976.6287727272728,23.3712272727272,1000.0,1
A00368A,592.1695818181818,869.8100181818182,1000.0,0
A00383A,556.3506,1000.0,1000.0,0
A0050B,816.4890186363637,391.0829768181817,1000.0,1
A005JMD,725.58488,626.4250478181818,1000.0,0
A00770A,468.9529181818182,1000.0,1000.0,1
A00772A,297.7473272727274,1000.0,1000.0,0
A00774A,276.9693636363637,1000.0,1000.0,0
A00786A,492.0896,1000.0,1000.0,0
A00789A,485.1038,1000.0,1000.0,0
A00790A,443.4668363636364,1000.0,1000.0,0
A00796A,451.16691818181806,1000.0,1000.0,0
A00798A,492.48389999999995,1000.0,1000.0,0
A00800A,481.0333545454546,970.1289272727272,1000.0,0
A00819A,619.1268700027273,800.4242094254546,1000.0,0
A00865A,457.95637272727276,1000.0,1000.0,0
A00889A,511.4734409090911,918.781869090909,1000.0,0
A00895A,419.848,1000.0,1000.0,1
A00896A,578.6353818181817,421.3646181818182,1000.0,1
A00897A,351.52853636363636,1000.0,1000.0,0
A0089L,982.9461275454546,17.0538724545454,1000.0,1
A00926A,409.3057536363637,1000.0,1000.0,0
A00943A,240.43233636363638,1000.0,1000.0,0
A00947A,438.01957272727276,1000.0,1000.0,0
A00977A,286.60615454545456,1000.0,1000.0,0
A00982A,581.9603090909092,894.5324727272725,1000.0,0
A00983A,695.3411000000001,736.6904999999999,1000.0,0
